T27,Water supply and sanitation services,,,,,
151,Eastern Europe,2015,"Safely managed drinking water sources, total (Proportion of population with access)",83.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
151,Eastern Europe,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",58.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
151,Eastern Europe,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",64.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
151,Eastern Europe,2022,"Safely managed drinking water sources, rural (Proportion of population with access)",73.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
151,Eastern Europe,2022,"Safely managed drinking water sources, total (Proportion of population with access)",83.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
151,Eastern Europe,2022,"Safely managed sanitation facilities, urban (Proportion of population with access)",61.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
151,Eastern Europe,2022,"Safely managed sanitation facilities, total (Proportion of population with access)",66.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
154,Northern Europe,2010,"Safely managed drinking water sources, total (Proportion of population with access)",98.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
154,Northern Europe,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",95.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
154,Northern Europe,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",75.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
154,Northern Europe,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",95.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
154,Northern Europe,2015,"Safely managed drinking water sources, total (Proportion of population with access)",99.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
154,Northern Europe,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",96.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
154,Northern Europe,2015,"Safely managed sanitation facilities, rural (Proportion of population with access)",76.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
154,Northern Europe,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",96.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
154,Northern Europe,2022,"Safely managed drinking water sources, total (Proportion of population with access)",99.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
154,Northern Europe,2022,"Safely managed sanitation facilities, urban (Proportion of population with access)",97.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
154,Northern Europe,2022,"Safely managed sanitation facilities, rural (Proportion of population with access)",77.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
154,Northern Europe,2022,"Safely managed sanitation facilities, total (Proportion of population with access)",96.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
39,Southern Europe,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",96.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
39,Southern Europe,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",93.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
39,Southern Europe,2010,"Safely managed drinking water sources, total (Proportion of population with access)",95.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
39,Southern Europe,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",68.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
39,Southern Europe,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",48.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
39,Southern Europe,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",69.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
39,Southern Europe,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",96.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
39,Southern Europe,2015,"Safely managed drinking water sources, rural (Proportion of population with access)",92.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
39,Southern Europe,2015,"Safely managed drinking water sources, total (Proportion of population with access)",95.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
