T02,"Population, density and surface area",,,,,
155,Western Europe,2015,Population mid-year estimates for females (millions),98.46,Including Liechtenstein and Monaco.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
155,Western Europe,2015,Sex ratio (males per 100 females),96.0,Including Liechtenstein and Monaco.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
155,Western Europe,2015,Population aged 0 to 14 years old (percentage),15.6,Calculated by the UN Statistics Division.;Including Liechtenstein and Monaco.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
155,Western Europe,2015,Population aged 60+ years old (percentage),25.7,Calculated by the UN Statistics Division.;Including Liechtenstein and Monaco.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
155,Western Europe,2015,Population density,177.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
155,Western Europe,2022,Population mid-year estimates (millions),198.50,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
155,Western Europe,2022,Population mid-year estimates for males (millions),97.45,Including Liechtenstein and Monaco.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
155,Western Europe,2022,Population mid-year estimates for females (millions),101.05,Including Liechtenstein and Monaco.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
155,Western Europe,2022,Sex ratio (males per 100 females),96.4,Including Liechtenstein and Monaco.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
155,Western Europe,2022,Population aged 0 to 14 years old (percentage),15.3,Calculated by the UN Statistics Division.;Including Liechtenstein and Monaco.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
155,Western Europe,2022,Population aged 60+ years old (percentage),28.2,Calculated by the UN Statistics Division.;Including Liechtenstein and Monaco.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
155,Western Europe,2022,Population density,182.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
155,Western Europe,2022,Surface area (thousand km2),"1,085",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2021"" and the demographic statistics database, last accessed June 2022."
155,Western Europe,2024,Population mid-year estimates (millions),199.86,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
155,Western Europe,2024,Population mid-year estimates for males (millions),98.16,Projected estimate (medium fertility variant).;Including Liechtenstein and Monaco.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
155,Western Europe,2024,Population mid-year estimates for females (millions),101.70,Projected estimate (medium fertility variant).;Including Liechtenstein and Monaco.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
155,Western Europe,2024,Sex ratio (males per 100 females),96.5,Projected estimate (medium fertility variant).;Including Liechtenstein and Monaco.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
155,Western Europe,2024,Population aged 0 to 14 years old (percentage),15.1,Projected estimate (medium fertility variant).;Calculated by the UN Statistics Division.;Including Liechtenstein and Monaco.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
155,Western Europe,2024,Population aged 60+ years old (percentage),29.2,Projected estimate (medium fertility variant).;Calculated by the UN Statistics Division.;Including Liechtenstein and Monaco.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
155,Western Europe,2024,Population density,183.5,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
9,Oceania,2010,Population mid-year estimates (millions),37.25,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
9,Oceania,2010,Population mid-year estimates for males (millions),18.70,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
